round,xpath,full xpath,id,name,css selector
1,91,72,31,32,21
2,38,26,20,21,20
3,39,29,22,23,23
4,48,28,21,23,22
5,35,30,18,20,18
6,37,26,21,24,23
7,39,26,19,20,19
8,40,25,21,23,22
9,41,23,19,20,22
10,34,26,21,20,19
11,33,25,42,22,23
12,37,26,17,19,19
13,37,26,18,20,19
14,35,24,45,17,18
15,32,23,16,17,17
16,32,23,17,18,20
17,35,25,19,19,18
18,31,24,18,18,18
19,31,22,17,19,18
20,32,24,17,17,17
21,31,24,18,20,19
22,34,24,20,19,16
23,35,25,19,19,18
24,32,22,18,19,17
25,33,22,22,22,56
26,32,24,18,18,18
27,30,22,17,16,17
28,29,23,17,16,17
29,33,27,17,17,17
30,31,24,18,17,18
31,38,26,17,17,17
32,32,21,15,16,16
33,32,23,19,16,18
34,33,22,16,17,17
35,35,24,17,16,19
36,73,53,32,33,23
37,39,28,22,20,22
38,35,29,18,24,17
39,30,21,17,17,16
40,31,22,15,16,18
41,34,22,17,16,17
42,33,24,16,19,17
43,30,21,17,18,16
44,32,21,19,17,17
45,56,28,17,17,16
46,31,20,15,15,16
47,30,22,15,17,16
48,30,21,15,16,15
49,32,21,17,17,17
50,30,21,16,17,19
51,31,23,20,17,18
52,31,22,15,15,15
53,29,21,17,16,15
54,30,21,16,18,15
55,32,24,22,17,17
56,37,23,19,18,15
57,32,23,17,18,15
58,51,24,15,15,17
59,30,37,37,32,18
60,33,22,26,21,16
61,30,22,16,18,14
62,32,21,15,16,16
63,30,23,19,15,16
64,31,22,17,16,16
65,33,23,19,16,15
66,31,20,15,16,16
67,32,21,16,18,16
68,31,22,15,18,16
69,35,26,17,16,16
70,32,24,15,16,15
71,29,23,16,16,14
72,32,21,16,16,16
73,33,22,16,18,17
74,33,22,17,15,15
75,27,20,16,16,19
76,35,22,17,18,16
77,32,24,16,17,15
78,30,19,15,15,15
79,30,20,14,15,17
80,31,20,16,16,17
81,30,20,17,16,16
82,31,22,16,16,15
83,33,21,15,15,16
84,36,28,20,16,17
85,31,20,16,16,16
86,30,21,18,16,16
87,31,22,16,17,17
88,31,23,21,17,18
89,34,25,17,19,16
90,32,25,17,17,18
91,30,22,17,16,18
92,35,23,17,18,16
93,33,20,17,15,17
94,30,29,18,21,19
95,39,23,14,14,13
96,32,25,21,17,17
97,31,23,17,17,15
98,30,21,16,17,16
99,33,22,16,17,15
100,32,21,17,15,17